net_common_name:net_add:sub_broad:sub_mask:sub_delta_r:hosts_req:sub_end:cidr:hosts_avail:sub_wild:sub_start:hosts_unused
99:192.168.0.0:192.168.0.127:255.255.255.128:128:99:192.168.0.126:25:126:0.0.0.127:192.168.0.1:27
55:192.168.0.128:192.168.0.191:255.255.255.192:64:55:192.168.0.190:26:62:0.0.0.63:192.168.0.129:7

